SchoolName,t14dummy,t50dummy,CompletedApplications,OffersAdmission,AcceptanceRate,EnrolleesFromApplicantPool,EnrollmentRateFromApp,EnrollmentRateFromOffers,OtherFirstYearEnrolles,TotalFYClassFT,TotalFYClassPT,TotalFYClassAll,All75LSAT,All50LSAT,All25LSAT,All75GPA,All50GPA,All25GPA
"CALIFORNIA-BERKELEY, UNIVERSITY OF",1,1,6722,838,12.47,251,3.73,29.95,27,278,0,278,172,170,167,3.9,3.83,3.74
"CALIFORNIA-LOS ANGELES, UNIVERSITY OF",1,1,7227,1120,15.5,273,3.78,24.38,35,308,0,308,172,171,166,3.97,3.9,3.66
"CHICAGO, UNIVERSITY OF",1,1,5246,747,14.24,182,3.47,24.36,21,203,0,203,175,173,169,3.97,3.91,3.81
COLUMBIA UNIVERSITY,1,1,7972,951,11.93,324,4.06,34.07,78,402,0,402,175,173,171,3.95,3.87,3.78
CORNELL UNIVERSITY,1,1,4913,857,17.44,202,4.11,23.57,6,210,0,210,174,172,170,3.94,3.87,3.76
DUKE UNIVERSITY,1,1,6250,671,10.74,204,3.26,30.4,23,227,0,227,171,170,168,3.94,3.85,3.73
HARVARD UNIVERSITY,1,1,8170,822,10.06,460,5.63,55.96,102,564,0,564,176,174,170,3.99,3.92,3.82
"MICHIGAN, UNIVERSITY OF",1,1,6253,845,13.51,307,4.91,36.33,27,334,0,334,172,171,166,3.92,3.83,3.59
NEW YORK UNIVERSITY,1,1,8874,1389,15.65,348,3.92,25.05,28,376,0,376,174,172,169,3.94,3.88,3.72
NORTHWESTERN UNIVERSITY,1,1,6247,940,15.05,229,3.67,24.36,9,238,0,238,172,171,166,3.95,3.89,3.63
"PENNSYLVANIA, UNIVERSITY OF",1,1,6816,664,9.74,232,3.4,34.94,14,246,0,246,173,172,167,3.96,3.9,3.61
STANFORD UNIVERSITY,1,1,4882,336,6.88,159,3.26,47.32,19,178,0,178,176,173,170,3.99,3.92,3.84
"VIRGINIA, UNIVERSITY OF",1,1,6031,777,12.88,303,5.02,39,12,315,0,315,173,171,166,3.99,3.94,3.69
YALE UNIVERSITY,1,1,4129,236,5.72,168,4.07,71.19,30,197,0,197,178,175,171,3.99,3.94,3.87
"ALABAMA, UNIVERSITY OF",0,1,1738,448,25.78,147,8.46,32.81,2,149,0,149,168,166,159,4.02,3.95,3.64
ARIZONA STATE UNIVERSITY,0,1,5546,1090,19.65,286,5.16,26.24,2,288,0,288,168,167,158,3.94,3.85,3.42
BAYLOR UNIVERSITY,0,1,3029,723,23.87,127,4.19,17.57,6,127,0,127,164,163,159,3.85,3.72,3.48
BOSTON COLLEGE,0,1,6022,612,10.16,175,2.91,28.59,37,212,0,212,167,166,162,3.81,3.74,3.55
BOSTON UNIVERSITY,0,1,7661,1251,16.33,209,2.73,16.71,7,216,0,216,171,170,164,3.91,3.84,3.57
BRIGHAM YOUNG UNIVERSITY,0,1,503,158,31.41,115,22.86,72.78,6,121,0,121,171,168,165,3.96,3.92,3.66
"CALIFORNIA-IRVINE, UNIVERSITY OF",0,1,2802,545,19.45,169,6.03,31.01,3,172,0,172,168,167,162,3.83,3.72,3.51
EMORY UNIVERSITY,0,1,4125,1328,32.19,217,5.26,16.34,19,236,0,236,169,168,161,3.9,3.8,3.43
"FLORIDA, UNIVERSITY OF",0,1,4021,681,16.94,189,4.7,27.75,7,196,0,196,170,169,162,3.97,3.9,3.52
FORDHAM UNIVERSITY,0,1,6727,1264,18.79,411,6.11,32.52,12,365,58,423,168,167,164,3.81,3.72,3.55
GEORGE MASON UNIVERSITY,0,1,2114,415,19.63,159,7.52,38.31,0,129,30,159,167,166,158,3.93,3.83,3.45
GEORGE WASHINGTON UNIVERSITY,0,1,9021,2255,25,506,5.61,22.44,9,490,25,515,169,168,162,3.93,3.84,3.52
GEORGETOWN UNIVERSITY,0,1,11325,1998,17.64,559,4.94,27.98,34,553,40,593,172,171,166,3.94,3.86,3.63
"GEORGIA, UNIVERSITY OF",0,1,2953,438,14.83,163,5.52,37.21,6,169,0,169,169,168,156,3.94,3.87,3.56
"ILLINOIS, UNIVERSITY OF",0,1,2035,707,34.74,161,7.91,22.77,2,163,0,163,167,166,162,3.86,3.71,3.47
INDIANA UNIVERSITY - BLOOMINGTON,0,1,1384,600,43.35,151,10.91,25.17,3,154,0,154,165,164,158,3.92,3.81,3.42
"IOWA, UNIVERSITY OF",0,1,1417,585,41.28,140,9.88,23.93,1,141,0,141,165,163,161,3.83,3.66,3.49
"KANSAS, UNIVERSITY OF",0,1,629,348,55.33,135,21.46,38.79,2,137,0,137,160,158,153,3.86,3.73,3.41
"MINNESOTA, UNIVERSITY OF",0,1,2171,807,37.17,217,10,26.89,5,222,0,222,169,168,162,3.92,3.83,3.57
"NORTH CAROLINA, UNIVERSITY OF",0,1,2766,404,14.61,178,6.44,44.06,10,188,0,188,167,166,162,3.88,3.77,3.61
"NOTRE DAME, UNIVERSITY OF",0,1,2917,717,24.58,155,5.31,21.62,11,166,0,166,170,168,163,3.89,3.81,3.65
OHIO STATE UNIVERSITY,0,1,1633,606,37.11,156,9.55,25.74,2,158,0,158,166,164,159,3.95,3.86,3.58
PEPPERDINE UNIVERSITY,0,1,3971,1099,27.68,187,4.71,17.02,5,192,0,192,166,164,159,3.93,3.85,3.54
"SOUTHERN CALIFORNIA, UNIVERSITY OF",0,1,5867,745,12.7,218,3.72,29.26,5,223,0,223,169,168,165,3.94,3.87,3.76
SOUTHERN METHODIST UNIVERSITY,0,1,2253,764,33.91,221,9.81,28.93,5,226,0,226,165,164,160,3.87,3.71,3.35
TEXAS A&M UNIVERSITY,0,1,4017,656,16.33,125,3.11,19.05,0,125,0,125,166,164,158,3.98,3.93,3.54
"TEXAS AT AUSTIN, UNIVERSITY OF",0,1,6325,921,14.56,264,4.17,28.66,28,292,0,292,171,170,166,3.92,3.84,3.71
"UTAH, UNIVERSITY OF",0,1,961,307,31.95,95,9.89,30.94,1,96,0,96,164,163,158,3.96,3.87,3.71
VANDERBILT UNIVERSITY,0,1,5817,845,14.53,150,2.58,17.75,5,155,0,155,170,170,163,3.98,3.9,3.57
VILLANOVA UNIVERSITY,0,1,2969,489,16.47,173,5.83,35.38,8,181,0,181,165,163,158,3.88,3.76,3.54
WAKE FOREST UNIVERSITY,0,1,1801,594,32.98,155,8.61,26.09,3,158,0,158,166,165,159,3.84,3.72,3.47
WASHINGTON AND LEE UNIVERSITY,0,1,2045,669,32.71,118,5.77,17.64,7,123,0,123,166,164,159,3.78,3.66,3.47
WASHINGTON UNIVERSITY,0,1,5511,993,18.02,250,4.54,25.18,10,260,0,260,173,172,164,4,3.94,3.43
"WASHINGTON, UNIVERSITY OF",0,1,2671,809,30.29,174,6.51,21.51,7,181,0,181,166,164,160,3.83,3.7,3.5
WILLIAM AND MARY LAW SCHOOL,0,1,1541,709,46.01,211,13.69,29.76,1,212,0,212,166,165,160,3.85,3.75,3.5
"WISCONSIN, UNIVERSITY OF",0,1,2041,718,35.18,242,11.86,33.7,0,242,0,242,167,165,157,3.85,3.73,3.41
"AKRON, UNIVERSITY OF",0,0,614,386,62.87,125,20.36,32.38,12,107,30,137,155,153,151,3.68,3.45,3.02
ALBANY LAW SCHOOL OF UNION UNIVERSITY,0,0,1312,658,50.15,192,14.63,29.18,7,199,0,199,158,155,153,3.7,3.48,3.21
AMERICAN UNIVERSITY,0,0,5559,1877,33.77,393,7.07,20.94,3,349,47,396,163,162,156,3.73,3.61,3.3
APPALACHIAN SCHOOL OF LAW,0,0,567,275,48.5,51,8.99,18.55,5,56,0,56,149,146,144,3.51,3.21,2.79
"ARIZONA, UNIVERSITY OF",0,0,1749,436,24.93,123,7.03,28.21,1,124,0,124,164,163,158,3.88,3.76,3.48
"ARKANSAS, FAYETTEVILLE, UNIVERSITY OF",0,0,770,317,41.17,120,15.58,37.85,2,122,0,122,158,156,153,3.87,3.6,3.34
"ARKANSAS, LITTLE ROCK, UNIVERSITY OF",0,0,663,370,55.81,136,20.51,36.76,8,108,35,143,155,152,149,3.69,3.41,2.98
ATLANTA'S JOHN MARSHALL LAW SCHOOL,0,0,1022,468,45.79,129,12.62,27.56,3,94,37,131,153,151,148,3.54,3.14,2.75
AVE MARIA SCHOOL OF LAW,0,0,789,345,43.73,95,12.04,27.54,4,99,0,99,155,152,149,3.67,3.3,2.94
"BALTIMORE, UNIVERSITY OF",0,0,1144,647,56.56,225,19.67,34.78,9,176,53,229,157,154,151,3.6,3.42,3.01
BARRY UNIVERSITY,0,0,1351,727,53.81,266,19.69,36.59,2,239,28,267,152,149,147,3.5,3.23,2.89
BELMONT UNIVERSITY,0,0,1187,470,39.6,124,10.45,26.38,0,124,0,124,162,160,156,3.88,3.7,3.47
BROOKLYN LAW SCHOOL,0,0,3884,1795,46.22,387,9.96,21.56,3,367,23,390,161,160,157,3.7,3.54,3.32
CALIFORNIA WESTERN SCHOOL OF LAW,0,0,1768,871,49.26,220,12.44,25.26,25,224,21,245,156,153,151,3.57,3.35,3.04
"CALIFORNIA-DAVIS, UNIVERSITY OF",0,0,3522,887,25.18,199,5.65,22.44,9,206,0,206,166,165,163,3.84,3.7,3.45
"CALIFORNIA-HASTINGS, UNIVERSITY OF",0,0,4069,1178,28.95,366,8.99,31.07,23,389,0,389,163,160,157,3.75,3.59,3.39
CAMPBELL UNIVERSITY,0,0,998,556,55.71,210,21.04,37.77,0,210,0,210,158,154,152,3.69,3.53,3.28
CAPITAL UNIVERSITY,0,0,593,400,67.45,153,25.8,38.25,6,122,37,159,155,151,148,3.64,3.33,2.96
CARDOZO SCHOOL OF LAW,0,0,3414,1154,33.8,313,9.17,27.12,2,264,51,315,166,164,159,3.86,3.76,3.46
CASE WESTERN RESERVE UNIVERSITY,0,0,1299,509,39.18,148,11.39,29.08,4,152,0,152,162,160,153,3.82,3.66,3.38
CATHOLIC UNIVERSITY OF AMERICA,0,0,1520,527,34.67,131,8.62,24.86,4,97,34,131,161,159,156,3.75,3.61,3.38
CHAPMAN UNIVERSITY,0,0,1941,557,28.7,139,7.16,24.96,0,139,0,139,163,161,155,3.78,3.63,3.2
CHARLESTON SCHOOL OF LAW,0,0,1590,900,56.6,223,14.03,24.78,1,224,0,224,154,152,149,3.65,3.41,3.12
CHICAGO-KENT COLLEGE OF LAW-IIT,0,0,1640,829,50.55,230,14.02,27.74,0,208,22,230,161,159,155,3.79,3.61,3.31
"CINCINNATI, UNIVERSITY OF",0,0,1020,457,44.8,128,12.55,28.01,2,130,0,130,161,158,156,3.91,3.73,3.52
CITY UNIVERSITY OF NEW YORK,0,0,1755,619,35.27,204,11.62,32.96,13,157,60,217,158,154,151,3.64,3.42,3.16
CLEVELAND STATE UNIVERSITY,0,0,648,314,48.46,133,20.52,42.36,1,108,27,135,157,154,151,3.65,3.39,2.95
"COLORADO, UNIVERSITY OF",0,0,3221,1006,31.23,155,4.81,15.41,10,165,0,165,166,164,159,3.83,3.72,3.45
"CONNECTICUT, UNIVERSITY OF",0,0,1572,440,27.99,149,9.48,33.86,4,122,31,153,162,160,156,3.79,3.64,3.38
CREIGHTON UNIVERSITY,0,0,549,372,67.76,121,22.04,32.53,1,122,0,122,157,153,149,3.72,3.5,2.99
"DAYTON, UNIVERSITY OF",0,0,1289,365,28.32,129,10.01,35.34,4,93,40,133,157,154,152,3.77,3.58,3.3
"DENVER, UNIVERSITY OF",0,0,2094,1015,48.47,276,13.18,27.19,4,234,46,280,162,160,156,3.75,3.6,3.27
DEPAUL UNIVERSITY,0,0,1782,745,41.81,172,9.65,23.09,5,150,27,177,158,156,152,3.76,3.57,3.18
"DETROIT MERCY, UNIVERSITY OF",0,0,955,536,56.13,209,21.88,38.99,1,199,11,210,157,154,150,3.61,3.39,3.08
DISTRICT OF COLUMBIA,0,0,513,258,50.29,78,15.2,30.23,2,56,24,80,153,150,147,3.45,3.15,2.85
DRAKE UNIVERSITY,0,0,470,335,71.28,110,23.4,32.84,0,110,0,110,157,154,151,3.77,3.55,3.29
DREXEL UNIVERSITY,0,0,1821,565,31.03,136,7.47,24.07,1,137,0,137,161,159,152,3.82,3.72,3.33
DUQUESNE UNIVERSITY,0,0,879,495,56.31,167,19,33.74,2,136,31,167,158,155,153,3.75,3.5,3.21
ELON UNIVERSITY,0,0,929,409,44.03,157,16.9,38.39,10,167,0,167,155,152,149,3.6,3.41,3.05
FAULKNER UNIVERSITY,0,0,411,197,47.93,100,24.33,50.76,3,103,0,103,153,151,147,3.54,3.18,2.85
FLORIDA A&M UNIVERSITY,0,0,1519,539,35.48,132,8.69,24.49,3,113,19,132,153,150,148,3.66,3.41,3.25
FLORIDA INTERNATIONAL UNIVERSITY,0,0,2133,482,22.6,142,6.66,29.46,1,115,27,142,162,160,156,3.89,3.72,3.37
FLORIDA STATE UNIVERSITY,0,0,2487,487,19.58,113,4.54,23.2,1,113,0,113,166,165,159,3.92,3.83,3.48
GEORGIA STATE UNIVERSITY,0,0,1927,548,28.44,201,10.43,36.68,0,157,44,201,162,160,157,3.74,3.61,3.38
GOLDEN GATE UNIVERSITY,0,0,1046,267,25.53,31,2.96,11.61,12,20,23,43,156,154,152,3.45,3.15,2.92
GONZAGA UNIVERSITY,0,0,1151,712,61.86,201,17.46,28.23,3,205,0,205,156,154,152,3.71,3.48,3.24
"HAWAII, UNIVERSITY OF",0,0,742,220,29.65,85,11.46,38.64,3,77,12,89,160,156,154,3.7,3.53,3.27
HOFSTRA UNIVERSITY,0,0,2264,1013,44.74,256,11.31,25.27,4,263,0,263,158,156,151,3.74,3.58,3.24
"HOUSTON, UNIVERSITY OF",0,0,3115,1001,32.13,249,7.99,24.88,7,218,38,256,162,161,157,3.8,3.7,3.5
HOWARD UNIVERSITY,0,0,1813,565,31.16,160,8.83,28.32,3,160,0,160,158,154,151,3.71,3.49,3.23
"IDAHO, UNIVERSITY OF",0,0,644,430,66.77,137,21.27,31.86,10,148,0,148,156,152,149,3.58,3.36,2.98
INDIANA UNIVERSITY - INDIANAPOLIS,0,0,791,513,64.85,222,28.07,43.27,5,178,49,227,158,154,151,3.79,3.58,3.27
INTER AMERICAN UNIVERSITY OF PUERTO RICO,0,0,504,257,50.99,187,37.1,72.76,0,114,73,187,147,143,140,3.61,3.37,3.11
"KENTUCKY, UNIVERSITY OF",0,0,822,412,50.12,119,14.48,28.88,1,120,0,120,160,157,155,3.84,3.68,3.4
LEWIS AND CLARK COLLEGE,0,0,1163,605,52.02,146,12.55,24.13,3,133,16,149,164,161,158,3.69,3.52,3.25
LIBERTY UNIVERSITY,0,0,533,294,55.16,122,22.89,41.5,2,125,0,125,155,152,150,3.74,3.49,3.19
LINCOLN MEMORIAL,0,0,442,254,57.47,126,28.51,49.61,1,126,0,126,154,150,148,3.61,3.4,3.08
LOUISIANA STATE UNIVERSITY,0,0,1061,557,52.5,207,19.51,37.16,1,208,0,208,159,157,154,3.79,3.62,3.37
"LOUISVILLE, UNIVERSITY OF",0,0,629,341,54.21,120,19.08,35.19,0,120,0,120,158,156,152,3.89,3.68,3.36
LOYOLA MARYMOUNT UNIVERSITY-LOS ANGELES,0,0,3414,1175,34.42,303,8.88,25.79,4,258,49,307,163,161,157,3.81,3.69,3.46
LOYOLA UNIVERSITY-CHICAGO,0,0,3115,1300,41.73,269,8.64,20.69,3,231,41,272,161,159,157,3.72,3.56,3.37
LOYOLA UNIVERSITY-NEW ORLEANS,0,0,843,562,66.67,209,24.79,37.19,0,190,19,209,155,152,149,3.61,3.39,3.17
"MAINE, UNIVERSITY OF",0,0,544,297,54.6,78,14.34,26.26,6,84,0,84,162,158,153,3.84,3.65,3.3
MARQUETTE UNIVERSITY,0,0,1150,472,41.04,183,15.91,38.77,0,183,0,183,158,155,153,3.76,3.63,3.38
"MARYLAND, UNIVERSITY OF",0,0,2469,728,29.49,201,8.14,27.61,4,181,24,205,164,163,157,3.85,3.71,3.36
MCGEORGE SCHOOL OF LAW,0,0,938,519,55.33,175,18.66,33.72,8,150,25,175,157,155,152,3.72,3.47,3.04
"MEMPHIS, UNIVERSITY OF",0,0,672,277,41.22,99,14.73,35.74,2,101,0,101,156,154,152,3.61,3.32,3.03
MERCER UNIVERSITY,0,0,952,439,46.11,149,15.65,33.94,1,150,0,150,157,154,153,3.69,3.48,3.23
"MIAMI, UNIVERSITY OF",0,0,4016,1344,33.47,354,8.81,26.34,6,360,0,360,164,161,156,3.81,3.69,3.45
MICHIGAN STATE UNIVERSITY,0,0,1449,636,43.89,208,14.35,32.7,2,210,2,212,159,157,153,3.76,3.52,3.15
MISSISSIPPI COLLEGE,0,0,717,444,61.92,126,17.57,28.38,0,126,0,126,154,150,146,3.59,3.38,2.97
"MISSISSIPPI, UNIVERSITY OF",0,0,1078,443,41.09,176,16.33,39.73,1,176,0,176,160,157,153,3.81,3.54,3.27
"MISSOURI, UNIVERSITY OF",0,0,617,317,51.38,128,20.75,40.38,3,128,0,128,162,160,156,3.86,3.7,3.42
"MISSOURI-KANSAS CITY, UNIVERSITY OF",0,0,620,323,52.1,139,22.42,43.03,2,141,0,141,157,154,152,3.73,3.47,3.16
MITCHELL|HAMLINE,0,0,949,616,64.91,341,35.93,55.36,9,109,241,350,155,152,149,3.57,3.33,2.97
"MONTANA, UNIVERSITY OF",0,0,522,345,66.09,91,17.43,26.38,0,91,0,91,158,154,151,3.71,3.43,3.05
"NEBRASKA, UNIVERSITY OF",0,0,763,465,60.94,144,18.87,30.97,3,147,0,147,161,158,155,3.91,3.72,3.41
NEW ENGLAND LAW | BOSTON,0,0,2925,2078,71.04,357,12.21,17.18,7,292,68,360,157,154,149,3.66,3.36,2.93
NEW HAMPSHIRE UNIVERSITY OF,0,0,1090,564,51.74,189,17.34,33.51,5,118,76,194,159,156,152,3.71,3.48,3.04
"NEW MEXICO, UNIVERSITY OF",0,0,474,223,47.05,97,20.46,43.5,2,99,0,99,160,156,152,3.74,3.5,3.22
NEW YORK LAW SCHOOL,0,0,3425,1765,51.53,353,10.31,20,5,311,47,358,158,155,152,3.72,3.53,3.3
NORTH CAROLINA CENTRAL UNIVERSITY,0,0,1167,417,35.73,156,13.37,37.41,2,142,16,158,151,148,145,3.55,3.32,3.09
"NORTH DAKOTA, UNIVERSITY OF",0,0,377,274,72.68,85,22.55,31.02,1,86,0,86,153,150,146,3.59,3.37,3.1
NORTHEASTERN UNIVERSITY,0,0,3877,1204,31.05,233,6.01,19.35,1,204,30,234,166,163,158,3.82,3.7,3.47
NORTHERN ILLINOIS UNIVERSITY,0,0,802,418,52.12,116,14.46,27.75,1,117,0,117,152,150,147,3.59,3.36,3.06
NORTHERN KENTUCKY UNIVERSITY,0,0,515,312,60.58,93,18.06,29.81,0,74,19,93,155,152,150,3.7,3.55,3.23
NOVA SOUTHEASTERN UNIVERSITY,0,0,1269,424,33.41,221,17.42,52.12,0,202,19,221,155,153,150,3.66,3.43,3.17
OHIO NORTHERN UNIVERSITY,0,0,387,230,59.43,57,14.73,24.78,3,62,0,62,151,148,146,3.67,3.42,3.08
OKLAHOMA CITY UNIVERSITY,0,0,562,348,61.92,147,26.16,42.24,1,138,10,148,152,148,146,3.65,3.43,3.11
"OKLAHOMA, UNIVERSITY OF",0,0,1129,480,42.52,170,15.06,35.42,2,172,0,172,160,159,155,3.88,3.67,3.37
"OREGON, UNIVERSITY OF",0,0,1330,735,55.26,157,11.8,21.36,3,160,0,160,161,158,155,3.76,3.57,3.37
PACE UNIVERSITY,0,0,1759,908,51.62,290,16.49,31.94,7,228,65,293,154,152,150,3.62,3.39,3.08
PENNSYLVANIA STATE - DICKINSON LAW,0,0,1307,481,36.8,100,7.65,20.79,3,103,0,103,163,161,156,3.8,3.61,3.25
PENNSYLVANIA STATE - PENN STATE LAW,0,0,2421,747,30.86,146,6.03,19.54,0,146,0,146,163,162,156,3.86,3.72,3.39
"PITTSBURGH, UNIVERSITY OF",0,0,1289,428,33.2,114,8.84,26.64,7,121,0,121,163,161,159,3.75,3.55,3.25
PONTIFICAL CATHOLIC UNIVERSITY OF P.R.,0,0,382,215,56.28,157,41.1,73.02,0,104,53,157,139,135,132,3.49,3.26,2.77
"PUERTO RICO, UNIVERSITY OF",0,0,353,173,49.01,141,39.94,81.5,1,96,41,137,153,147,143,3.88,3.71,3.48
QUINNIPIAC UNIVERSITY,0,0,1016,681,67.03,122,12.01,17.91,1,108,15,123,156,152,149,3.77,3.56,3.3
REGENT UNIVERSITY,0,0,559,231,41.32,114,20.39,49.35,4,114,0,114,160,157,153,3.9,3.63,3.26
"RICHMOND, UNIVERSITY OF",0,0,1874,631,33.67,117,6.24,18.54,4,121,0,121,165,163,158,3.87,3.75,3.33
ROGER WILLIAMS UNIVERSITY,0,0,1042,701,67.27,179,17.18,25.53,2,181,0,181,154,150,148,3.62,3.33,3.02
RUTGERS UNIVERSITY,0,0,3181,1306,41.06,380,11.95,29.1,16,322,74,396,160,158,155,3.64,3.41,3.07
SAINT LOUIS UNIVERSITY,0,0,793,485,61.16,182,22.95,37.53,2,168,16,184,161,156,153,3.8,3.54,3.23
SAMFORD UNIVERSITY,0,0,687,427,62.15,146,21.25,34.19,0,146,0,146,157,155,152,3.84,3.62,3.36
"SAN DIEGO, UNIVERSITY OF",0,0,3448,1189,34.48,264,7.66,22.2,6,242,12,254,163,161,157,3.86,3.74,3.45
"SAN FRANCISCO, UNIVERSITY OF",0,0,2166,1004,46.35,134,6.19,13.35,1,135,0,135,158,155,152,3.64,3.42,3.04
SANTA CLARA UNIVERSITY,0,0,1968,1029,52.29,199,10.11,19.34,4,187,16,203,160,158,155,3.57,3.42,3.16
SEATTLE UNIVERSITY,0,0,1615,887,54.92,221,13.68,24.92,0,176,45,221,160,157,152,3.68,3.44,3.11
SETON HALL UNIVERSITY,0,0,2051,826,40.27,207,10.09,25.06,7,176,39,215,162,159,154,3.78,3.62,3.38
"SOUTH CAROLINA, UNIVERSITY OF",0,0,1754,660,37.63,206,11.74,31.21,0,206,0,206,161,159,156,3.83,3.61,3.35
"SOUTH DAKOTA, UNIVERSITY OF",0,0,338,228,67.46,82,24.26,35.96,5,87,0,87,155,151,148,3.72,3.39,3
SOUTH TEXAS COLLEGE OF LAW HOUSTON,0,0,2102,932,44.34,365,17.36,39.16,1,309,57,366,156,153,151,3.55,3.3,3
SOUTHERN ILLINOIS UNIVERSITY-CARBONDALE,0,0,462,262,56.71,85,18.4,32.44,4,89,0,89,153,150,147,3.62,3.35,2.92
SOUTHERN UNIVERSITY,0,0,1040,621,59.71,283,27.21,45.57,9,209,83,292,148,146,144,3.43,3.13,2.8
SOUTHWESTERN LAW SCHOOL,0,0,1855,934,50.35,339,18.27,36.3,4,297,46,343,157,154,152,3.58,3.36,3.1
ST. JOHN'S UNIVERSITY,0,0,2483,991,39.91,234,9.42,23.61,1,235,0,235,164,162,154,3.8,3.66,3.33
ST. MARY'S UNIVERSITY,0,0,2366,886,37.45,273,11.54,30.81,4,250,27,277,156,153,150,3.62,3.36,3.03
ST. THOMAS UNIVERSITY (FLORIDA),0,0,1319,663,50.27,224,16.98,33.79,3,227,0,227,155,152,150,3.56,3.32,3.03
"ST. THOMAS, UNIVERSITY OF (MINNESOTA)",0,0,591,387,65.48,152,25.72,39.28,5,157,0,157,159,156,152,3.77,3.63,3.32
STETSON UNIVERSITY,0,0,2242,694,30.95,278,12.4,40.06,28,252,54,306,159,158,156,3.73,3.51,3.28
SUFFOLK UNIVERSITY,0,0,2835,1721,60.71,432,15.24,25.1,14,350,95,445,158,154,150,3.67,3.49,3.2
SYRACUSE UNIVERSITY,0,0,2261,943,41.71,230,10.17,24.39,7,238,0,238,160,157,154,3.74,3.56,3.22
